号码,省份,手机品牌,通信品牌,手机操作系统,月消费（元）,月流量（MB）
166547114238,河北,HTC,神州行,Android,298.9,318.6
166423353436,河南,HTC,神州行,Android,272.8,1385.9
166556915853,福建,HTC,神州行,Android,68.8,443.6
166434728749,湖南,HTC,神州行,Android,4.6,817.3
166544742252,北京,HTC,神州行,Android,113.2,837.4
166827395761,江苏,HTC,神州行,Android,34.3,1908.5
166917847616,福建,HTC,神州行,Android,277.5,79.8
166528757061,宁夏,HTC,神州行,Android,42.2,1199.2
166809774605,上海,HTC,神州行,Android,277,694
166434676621,广东,HTC,神州行,Android,276.9,1404
166412957510,北京,HTC,神州行,Android,124.5,1436.2
166816971422,澳门,HTC,神州行,Android,96,1617.4
166413097255,四川,HTC,神州行,Android,273.4,210
166925738202,青海,HTC,神州行,Android,62.6,1897.8
166686379221,内蒙古,HTC,神州行,Android,204.6,1875.8
166751629866,香港,HTC,神州行,Android,184.2,1480.1
166662880271,天津,HTC,神州行,Android,231,1266.3
166412838584,山西,HTC,神州行,Android,289,644.2
166814470726,香港,HTC,神州行,Android,122.5,1363.5
166920758627,青海,HTC,神州行,Android,268,151.2
166631924613,北京,HTC,神州行,Android,188.6,1168.8
166818587922,北京,HTC,神州行,Android,114,725.5
166713172586,西藏,HTC,神州行,Android,87.3,283.8
166713458375,江西,HTC,神州行,Android,183.7,1945.3
166712252207,河北,HTC,神州行,Android,22.4,1393.5
166920837514,湖南,HTC,神州行,Android,165.9,1643.3
166728577083,江苏,HTC,神州行,Android,182,578.9
166450197279,宁夏,HTC,神州行,Android,201.5,1520.1
166412353009,辽宁,HTC,神州行,Android,147.3,1384.7
166816971118,香港,HTC,神州行,Android,219,766
166437500416,广东,HTC,神州行,Android,297.1,79.1
166798891320,江苏,HTC,神州行,Android,73.9,1072.1
166827380921,江苏,HTC,神州行,Android,239.1,298.3
166532671255,宁夏,HTC,神州行,Android,92.5,547.1
166670000719,澳门,HTC,神州行,Android,62,188.9
166631877248,海南,HTC,神州行,Android,85.5,750.3
166450182311,贵州,HTC,神州行,Android,297.8,359.2
166751459237,贵州,HTC,神州行,Android,284.1,378.5
166580894447,北京,HTC,神州行,Android,57.3,170.5
166795135915,福建,HTC,神州行,Android,271.4,38.7
166827107589,河南,HTC,神州行,Android,67.4,1988.3
166549523324,吉林,HTC,神州行,Android,251.7,271.4
166999848343,江西,HTC,神州行,Android,98.5,1761.9
166818522854,安徽,HTC,神州行,Android,171.6,778.9
166920768701,山东,HTC,神州行,Android,60.2,1423.2
166818379870,山东,HTC,神州行,Android,34.7,443.3
166999868596,海南,HTC,神州行,Android,186.9,683.6
166016940506,浙江,HTC,神州行,Android,167,1631
166818567255,陕西,HTC,神州行,Android,129.2,494.1
166925662063,辽宁,HTC,神州行,Android,116.4,955.1
166600421937,黑龙江,HTC,神州行,Android,284.7,1627.4
166751516347,上海,HTC,神州行,Android,160.6,407.3
166816972525,湖北,HTC,神州行,Android,244.2,1699.6
166015244376,北京,HTC,神州行,Android,247.8,1933.4
166751622590,黑龙江,HTC,神州行,Android,263.7,754.4
166876557398,天津,HTC,神州行,Android,37,1222.6
166450784754,湖南,HTC,神州行,Android,263,457.5
166433223487,重庆,HTC,神州行,Android,236,328.6
166920343739,西藏,HTC,神州行,Android,79.3,855.4
166650527993,黑龙江,HTC,神州行,Android,182.2,235
166433147198,湖南,HTC,神州行,Android,66.1,1791.7
166713062260,四川,HTC,神州行,Android,53.3,431.5
166999866034,黑龙江,HTC,神州行,Android,99.1,1456
166814418930,上海,HTC,神州行,Android,216.2,1115.7
166925690516,陕西,HTC,神州行,Android,267.3,1300.4
166728590585,宁夏,HTC,神州行,Android,30.6,1495.8
166989776070,安徽,HTC,神州行,Android,178.9,305
166433143500,山西,HTC,神州行,Android,93.6,613.4
166431575064,江苏,HTC,神州行,Android,107,1140
166816970791,新疆,HTC,神州行,Android,29.9,448.7
166412477480,浙江,HTC,神州行,Android,172.4,809.3
166730082922,河南,HTC,神州行,Android,151.7,1714.8
166920783798,澳门,HTC,神州行,Android,62,524.8
166423521910,广西,HTC,神州行,Android,172.8,727.4
166726618827,宁夏,HTC,神州行,Android,92.2,1918.5
166717499295,青海,HTC,神州行,Android,196.9,150.4
166015569156,江苏,HTC,神州行,Android,198.8,1889.7
166118429770,重庆,HTC,神州行,Android,208.6,1039.3
166713324783,台湾,HTC,神州行,Android,81.3,1141
166917018611,安徽,HTC,神州行,Android,276.6,40
166814292509,黑龙江,HTC,神州行,Android,135.5,1141.8
166917008415,西藏,HTC,神州行,Android,299.1,1385.4
166818360387,北京,HTC,神州行,Android,76.6,103.9
166425029531,台湾,HTC,神州行,Android,240.6,182
166712965241,重庆,HTC,神州行,Android,186.9,751.7
166927035568,山东,HTC,神州行,Android,215.2,1818.6
166925687553,海南,HTC,神州行,Android,174,1377.6
166713544036,陕西,HTC,神州行,Android,256,317.8
166763267029,广东,HTC,神州行,Android,40.1,427.5
166920831503,四川,HTC,神州行,Android,135.3,1249.2
166790806186,西藏,HTC,神州行,Android,129.3,1303.8
166712750902,西藏,HTC,神州行,Android,97.7,1145.1
166712160306,北京,HTC,神州行,Android,276.7,1262.5
166686244819,云南,HTC,神州行,Android,284.7,1011.7
166712133992,浙江,HTC,神州行,Android,236,907.6
166418516658,浙江,HTC,神州行,Android,242.7,1461.8
166414429040,湖北,HTC,神州行,Android,116.8,1270
166712853539,宁夏,HTC,神州行,Android,267.9,581.5
166017265094,澳门,HTC,神州行,Android,165,1462.7
166007792093,海南,HTC,神州行,Android,291,1870.3
166539194045,黑龙江,HTC,神州行,Android,27.1,1392.1
166686292082,江西,HTC,神州行,Android,116.7,251.9
166431359890,江西,HTC,神州行,Android,227.8,295.8
166814239819,湖南,HTC,神州行,Android,295.3,275.8
166017256303,甘肃,HTC,神州行,Android,197.8,202.3
166437504655,辽宁,HTC,神州行,Android,253.1,1084.5
166816971069,陕西,HTC,神州行,Android,91.6,1009.9
166686838380,重庆,HTC,神州行,Android,47.1,751.2
166581103298,河南,HTC,神州行,Android,30.1,632.5
166480205887,山西,HTC,神州行,Android,108,1725.4
166431569764,青海,HTC,神州行,Android,184,153.5
166650499331,甘肃,HTC,神州行,Android,26.9,1842.8
166751573692,河南,HTC,神州行,Android,43.7,1131
166019232525,澳门,HTC,神州行,Android,115.3,1973.5
166538538767,海南,HTC,神州行,Android,55.8,1008
166725968834,江苏,HTC,神州行,Android,50.6,1590.8
166017301835,江西,HTC,神州行,Android,27,693.6
166418486747,陕西,HTC,神州行,Android,46.3,1957.1
166015307780,黑龙江,HTC,神州行,Android,281.3,1086.4
166728518035,山西,HTC,神州行,Android,137.6,1665.2
166712011794,北京,HTC,神州行,Android,142.6,479.7
166717491008,江西,HTC,神州行,Android,62.9,1268.1
166817734158,黑龙江,HTC,神州行,Android,114.6,449.3
166434205033,西藏,HTC,神州行,Android,278.3,933.7
166412265640,澳门,HTC,神州行,Android,30.7,231.9
166537613667,内蒙古,HTC,神州行,Android,106.6,1318.7
166712417078,辽宁,HTC,神州行,Android,142.7,544.8
166423482985,安徽,HTC,神州行,Android,30.3,1068.6
166818499028,陕西,HTC,神州行,Android,137.7,878.4
166695117158,江苏,HTC,神州行,Android,112.5,653.3
166917112432,吉林,HTC,神州行,Android,286.3,557.8
166099929003,宁夏,HTC,神州行,Android,134.6,662.2
166798890260,宁夏,HTC,神州行,Android,196.3,341
166999844775,青海,HTC,神州行,Android,240.3,1081.7
166533077264,江苏,HTC,神州行,Android,50.3,1648.8
166538577931,香港,HTC,神州行,Android,207,515.5
166929366403,台湾,HTC,神州行,Android,104.6,12.3
166017064239,天津,HTC,神州行,Android,115.6,1415.6
166923045646,广东,HTC,神州行,Android,43.8,1836.8
166015580990,山西,HTC,神州行,Android,272.1,565
166920401902,吉林,HTC,神州行,Android,5.8,863.1
166017230031,天津,HTC,神州行,Android,8.3,664.1
166751350823,湖北,HTC,神州行,Android,187.2,1724.5
166726623628,广西,HTC,神州行,Android,36.2,1977.9
166669973476,云南,HTC,神州行,Android,82.3,843.4
166450211806,甘肃,HTC,神州行,Android,277,1794.1
166818369917,甘肃,HTC,神州行,Android,242.5,1865.8
166532646009,内蒙古,HTC,神州行,Android,20.4,1195.2
166532796835,广东,HTC,神州行,Android,277.5,1881.6
166999924560,甘肃,HTC,神州行,Android,71.5,764.6
166015386678,广东,HTC,神州行,Android,93.8,1159.7
166712316362,甘肃,HTC,神州行,Android,33.7,1316.8
166549572291,吉林,HTC,神州行,Android,66.1,1558.9
166818402120,内蒙古,HTC,神州行,Android,193.2,1997.9
166024210072,宁夏,HTC,神州行,Android,250.1,715.8
166538457675,吉林,HTC,神州行,Android,73,558
166876545425,新疆,HTC,神州行,Android,289.9,1863.1
166999866110,广东,HTC,神州行,Android,7.9,1947.2
166592893349,青海,HTC,神州行,Android,43.8,1572.3
166799033065,宁夏,HTC,神州行,Android,124.4,1667.6
166818363825,山东,HTC,神州行,Android,275.7,1439.1
166422131082,湖南,HTC,神州行,Android,111.9,227.2
166999848266,河北,HTC,神州行,Android,171.7,802.7
166620191756,江西,HTC,神州行,Android,10,166
166918529191,西藏,HTC,神州行,Android,68.2,740.2
166686310534,河北,HTC,神州行,Android,219.4,1045.3
166547045082,台湾,HTC,神州行,Android,274.9,812.2
166670029183,湖南,HTC,神州行,Android,106.7,1940.1
166790752629,海南,HTC,神州行,Android,134.4,1555.6
166728343493,江西,HTC,神州行,Android,152.3,1260.9
166412212084,福建,HTC,神州行,Android,120.8,1779.8
166650466476,浙江,HTC,神州行,Android,296.3,1995.1
166532572179,贵州,HTC,神州行,Android,232.6,1244.5
166712645826,辽宁,HTC,神州行,Android,80.3,1006.9
166818358653,西藏,HTC,神州行,Android,178.1,175.9
166814367887,安徽,HTC,神州行,Android,27.1,935.5
166821026232,内蒙古,HTC,神州行,Android,54.3,737.3
166015571234,贵州,HTC,神州行,Android,246.7,1205.9
166118467833,北京,HTC,神州行,Android,188.9,1615
166450803735,辽宁,HTC,神州行,Android,239.8,1019
166414545757,湖南,HTC,神州行,Android,226.4,1970
166537420920,贵州,HTC,神州行,Android,93.7,1308.1
166712603393,湖南,HTC,神州行,Android,147.9,617.1
166414519255,江苏,HTC,神州行,Android,43.3,1022.1
166794980903,黑龙江,HTC,神州行,Android,70.8,1402.5
166713155845,河北,HTC,神州行,Android,181.2,1558.3
166643099548,福建,HTC,神州行,Android,132.9,1656.7
166713326923,甘肃,HTC,神州行,Android,264.3,1774.6
166556839253,辽宁,HTC,神州行,Android,254,783.9
166544949098,福建,HTC,神州行,Android,63.6,236.7
166920380130,江西,HTC,神州行,Android,108,1825.8
166612836414,台湾,HTC,神州行,Android,51.1,580.2
166015436771,天津,HTC,神州行,Android,92,866
166816972362,广东,HTC,神州行,Android,109.1,1505.3
166999875890,浙江,HTC,神州行,Android,178.9,506
166712517080,西藏,HTC,神州行,Android,173,174.5
166999847909,青海,HTC,神州行,Android,160.2,1741.9
166999866425,安徽,HTC,神州行,Android,95.9,610.2
166423519963,江西,HTC,神州行,Android,48.7,447.9
166918500715,辽宁,HTC,神州行,Android,39.1,1775.4
166431404428,河北,HTC,神州行,Android,285.4,1422.7
166794981782,福建,HTC,神州行,Android,179.1,1028.9
166650316621,浙江,HTC,神州行,Android,31.9,885.6
166539234159,海南,HTC,神州行,Android,199.2,1259.9
166099898803,上海,HTC,神州行,Android,168.2,553.2
166816971281,贵州,HTC,神州行,Android,154,1923.2
166724592050,新疆,HTC,神州行,Android,120.8,1159
166431357052,上海,HTC,神州行,Android,131.6,83.1
166763331391,甘肃,HTC,神州行,Android,203.7,355.9
166413010437,吉林,HTC,神州行,Android,254.3,1803.3
166993024323,贵州,HTC,神州行,Android,138.3,1774.9
166412563592,贵州,HTC,神州行,Android,238.2,49.1
166751589094,河南,HTC,神州行,Android,136.3,1338
166547045646,湖北,HTC,神州行,Android,99.8,175.8
166917793219,广东,HTC,神州行,Android,151.7,581.3
166437530832,甘肃,HTC,神州行,Android,263.6,687.1
166712218142,吉林,HTC,神州行,Android,172.1,868.9
166537600715,重庆,HTC,神州行,Android,236.5,1851.9
166547046847,西藏,HTC,神州行,Android,32.7,1107.2
166763348767,宁夏,HTC,神州行,Android,207.3,742.6
166695116838,安徽,HTC,神州行,Android,104.5,1361.3
166581047054,澳门,HTC,神州行,Android,235.4,1188.7
166916949366,甘肃,HTC,神州行,Android,35.6,1211.1
166532528932,河南,HTC,神州行,Android,43.2,1387.1
166544926611,台湾,HTC,神州行,Android,238.6,116.1
166538741575,吉林,HTC,神州行,Android,98.5,1505.2
166816972322,江西,HTC,神州行,Android,108.4,497
166532994656,海南,HTC,神州行,Android,252,1.4
166686416357,上海,HTC,神州行,Android,143.7,1846.6
166612865789,天津,HTC,神州行,Android,287.9,1294.4
166712058698,浙江,HTC,神州行,Android,11.4,1593.5
166663126356,山东,HTC,神州行,Android,166.4,1439.2
166916962857,福建,HTC,神州行,Android,118.4,1115.9
166713099048,贵州,HTC,神州行,Android,298.7,1246.5
166412224397,新疆,HTC,神州行,Android,287.4,176.8
166920838520,山西,HTC,神州行,Android,65.6,1800.5
